Config: (count = 64, datalen = 7, packed = False), sizeof(item_t): 12, dcache misses:         26
Config: (count = 64, datalen = 7, packed = True), sizeof(item_t): 11, dcache misses:         24
Config: (count = 64, datalen = 8, packed = False), sizeof(item_t): 12, dcache misses:         26
Config: (count = 64, datalen = 8, packed = True), sizeof(item_t): 12, dcache misses:         25
Config: (count = 64, datalen = 9, packed = False), sizeof(item_t): 16, dcache misses:         33
Config: (count = 64, datalen = 9, packed = True), sizeof(item_t): 13, dcache misses:         28
Config: (count = 64, datalen = 10, packed = False), sizeof(item_t): 16, dcache misses:         34
Config: (count = 64, datalen = 10, packed = True), sizeof(item_t): 14, dcache misses:         30
Config: (count = 64, datalen = 11, packed = False), sizeof(item_t): 16, dcache misses:         34
Config: (count = 64, datalen = 11, packed = True), sizeof(item_t): 15, dcache misses:         32
Config: (count = 64, datalen = 12, packed = False), sizeof(item_t): 16, dcache misses:         34
Config: (count = 64, datalen = 12, packed = True), sizeof(item_t): 16, dcache misses:         34
Config: (count = 64, datalen = 13, packed = False), sizeof(item_t): 20, dcache misses:         42
Config: (count = 64, datalen = 13, packed = True), sizeof(item_t): 17, dcache misses:         35
Config: (count = 64, datalen = 14, packed = False), sizeof(item_t): 20, dcache misses:         41
Config: (count = 64, datalen = 14, packed = True), sizeof(item_t): 18, dcache misses:         37
Config: (count = 64, datalen = 15, packed = False), sizeof(item_t): 20, dcache misses:         41
Config: (count = 64, datalen = 15, packed = True), sizeof(item_t): 19, dcache misses:         39
Config: (count = 64, datalen = 16, packed = False), sizeof(item_t): 20, dcache misses:         41
Config: (count = 64, datalen = 16, packed = True), sizeof(item_t): 20, dcache misses:         41
Config: (count = 64, datalen = 17, packed = False), sizeof(item_t): 24, dcache misses:         49
Config: (count = 64, datalen = 17, packed = True), sizeof(item_t): 21, dcache misses:         43
Config: (count = 64, datalen = 18, packed = False), sizeof(item_t): 24, dcache misses:         49
Config: (count = 64, datalen = 18, packed = True), sizeof(item_t): 22, dcache misses:         45
Config: (count = 64, datalen = 19, packed = False), sizeof(item_t): 24, dcache misses:         49
Config: (count = 64, datalen = 19, packed = True), sizeof(item_t): 23, dcache misses:         47
Config: (count = 64, datalen = 20, packed = False), sizeof(item_t): 24, dcache misses:         49
Config: (count = 64, datalen = 20, packed = True), sizeof(item_t): 24, dcache misses:         49
Config: (count = 64, datalen = 21, packed = False), sizeof(item_t): 28, dcache misses:         57
Config: (count = 64, datalen = 21, packed = True), sizeof(item_t): 25, dcache misses:         51
